### START LOGGING ###

######[29/09/2021, 02:05:21][admin@admin][notification] REQUEST: GET LIST FILE
######[29/09/2021, 15:36:13][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 15:36:14][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 16:01:54][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 16:01:55][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 16:02:09][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 16:02:09][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 16:02:10][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 16:02:11][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 16:02:12][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 16:02:12][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 16:02:13][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 16:02:14][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 16:02:15][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 16:02:16][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 16:02:26][admin@admin][notification] REQUEST: UPLOAD FILE

######[29/09/2021, 16:02:31][admin@admin][notification] REQUEST: UPLOAD FILE

######[29/09/2021, 16:02:36][admin@admin][notification] REQUEST: UPLOAD FILE

######[29/09/2021, 16:02:41][admin@admin][notification] REQUEST: UPLOAD FILE

######[29/09/2021, 16:02:46][admin@admin][notification] REQUEST: UPLOAD FILE

######[29/09/2021, 16:02:51][admin@admin][notification] REQUEST: UPLOAD FILE

######[29/09/2021, 16:06:50][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 16:06:50][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 16:06:54][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 16:06:55][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 16:06:58][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 16:06:59][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 16:07:06][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 16:07:07][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 16:07:13][admin@admin][notification] REQUEST: UPLOAD FILE

######[29/09/2021, 16:07:19][admin@admin][notification] REQUEST: UPLOAD FILE

######[29/09/2021, 16:07:24][admin@admin][notification] REQUEST: UPLOAD FILE

######[29/09/2021, 16:07:29][admin@admin][notification] REQUEST: UPLOAD FILE
[29/09/2021, 16:08:27][admin@admin][success] Upload File: Upload và convert file thành công!
[29/09/2021, 16:08:44][admin@admin][success] Upload File: Upload và convert file thành công!
[29/09/2021, 16:08:48][admin@admin][success] Upload File: Upload và convert file thành công!
[29/09/2021, 16:08:50][admin@admin][success] Upload File: Upload và convert file thành công!

######[29/09/2021, 16:08:50][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 16:08:50][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 16:10:04][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 16:10:05][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 17:01:39][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 17:01:39][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 17:02:05][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 17:02:05][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 17:02:12][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 17:02:13][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 17:02:13][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 17:02:14][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 17:02:31][admin@admin][notification] REQUEST: UPLOAD FILE
[29/09/2021, 17:02:56][admin@admin][success] Upload File: Upload và convert file thành công!

######[29/09/2021, 17:02:56][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 17:02:56][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 17:04:02][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 17:04:03][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 17:04:07][admin@admin][notification] REQUEST: UPLOAD FILE
[29/09/2021, 17:04:33][admin@admin][success] Upload File: Upload và convert file thành công!

######[29/09/2021, 17:04:33][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 17:04:33][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 17:05:14][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 17:05:15][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 17:05:24][admin@admin][notification] REQUEST: UPLOAD FILE
[29/09/2021, 17:05:49][admin@admin][success] Upload File: Upload và convert file thành công!

######[29/09/2021, 17:05:50][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 17:05:50][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 17:06:03][admin@admin][notification] REQUEST: UPLOAD FILE
[29/09/2021, 17:06:27][admin@admin][success] Upload File: Upload và convert file thành công!

######[29/09/2021, 17:06:27][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 17:06:28][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 17:08:24][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 17:08:25][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 17:08:35][admin@admin][notification] REQUEST: UPLOAD FILE

######[29/09/2021, 17:12:41][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 17:12:45][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 17:12:57][admin@admin][notification] REQUEST: UPLOAD FILE

######[29/09/2021, 17:31:12][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 17:31:13][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 17:32:28][admin@admin][notification] REQUEST: UPLOAD FILE
[29/09/2021, 17:32:54][admin@admin][success] Upload File: Upload và convert file thành công!

######[29/09/2021, 17:32:54][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 17:32:55][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 22:27:56][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 22:27:57][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 22:28:03][admin@admin][notification] REQUEST: UPLOAD FILE
[29/09/2021, 22:29:01][admin@admin][success] Upload File: Upload và convert file thành công!

######[29/09/2021, 22:29:01][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 22:29:02][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 22:43:56][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 22:43:57][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 22:44:01][admin@admin][notification] REQUEST: UPLOAD FILE
[29/09/2021, 22:45:00][admin@admin][success] Upload File: Upload và convert file thành công!

######[29/09/2021, 22:45:00][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 22:45:01][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 22:45:33][admin@admin][notification] REQUEST: REMOVE FILE

######[29/09/2021, 22:45:34][admin@admin][notification] REQUEST: REMOVE FILE

######[29/09/2021, 22:45:34][admin@admin][notification] REQUEST: REMOVE FILE

######[29/09/2021, 22:45:35][admin@admin][notification] REQUEST: REMOVE FILE

######[29/09/2021, 22:45:35][admin@admin][notification] REQUEST: REMOVE FILE

######[29/09/2021, 22:45:36][admin@admin][notification] REQUEST: REMOVE FILE
[29/09/2021, 22:45:38][admin@admin][success] Remove File From Database: Xoá File thành công!
[29/09/2021, 22:45:38][admin@admin][success] Remove File From Database: Xoá File thành công!

######[29/09/2021, 22:45:38][admin@admin][notification] REQUEST: REMOVE FILE

######[29/09/2021, 22:45:38][admin@admin][notification] REQUEST: REMOVE FILE
[29/09/2021, 22:45:40][admin@admin][success] Remove File From Database: Xoá File thành công!
[29/09/2021, 22:45:40][admin@admin][success] Remove File From Database: Xoá File thành công!
[29/09/2021, 22:45:40][admin@admin][success] Remove File From Database: Xoá File thành công!
[29/09/2021, 22:45:40][admin@admin][success] Remove File From Database: Xoá File thành công!
[29/09/2021, 22:45:41][admin@admin][success] Remove File From Database: Xoá File thành công!
[29/09/2021, 22:45:42][admin@admin][success] Remove File From Database: Xoá File thành công!

######[29/09/2021, 22:46:11][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 22:46:11][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 22:46:17][admin@admin][notification] REQUEST: UPLOAD FILE
[29/09/2021, 22:47:13][admin@admin][success] Upload File: Upload và convert file thành công!

######[29/09/2021, 22:47:13][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 22:47:14][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 23:02:29][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 23:02:31][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 23:02:36][admin@admin][notification] REQUEST: UPLOAD FILE
[29/09/2021, 23:03:33][admin@admin][success] Upload File: Upload và convert file thành công!

######[29/09/2021, 23:03:33][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 23:03:34][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 23:09:06][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 23:09:07][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 23:09:13][admin@admin][notification] REQUEST: UPLOAD FILE
[29/09/2021, 23:10:16][admin@admin][success] Upload File: Upload và convert file thành công!

######[29/09/2021, 23:10:16][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 23:10:17][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 23:23:33][admin@admin][notification] REQUEST: REMOVE FILE
[29/09/2021, 23:23:34][admin@admin][success] Remove File From Database: Xoá File thành công!

######[29/09/2021, 23:23:34][admin@admin][notification] REQUEST: REMOVE FILE

######[29/09/2021, 23:23:35][admin@admin][notification] REQUEST: REMOVE FILE
[29/09/2021, 23:23:35][admin@admin][success] Remove File From Database: Xoá File thành công!

######[29/09/2021, 23:23:35][admin@admin][notification] REQUEST: REMOVE FILE
[29/09/2021, 23:23:35][admin@admin][success] Remove File From Database: Xoá File thành công!

######[29/09/2021, 23:23:36][admin@admin][notification] REQUEST: REMOVE FILE
[29/09/2021, 23:23:36][admin@admin][success] Remove File From Database: Xoá File thành công!

######[29/09/2021, 23:23:37][admin@admin][notification] REQUEST: REMOVE FILE
[29/09/2021, 23:23:37][admin@admin][success] Remove File From Database: Xoá File thành công!

######[29/09/2021, 23:23:37][admin@admin][notification] REQUEST: REMOVE FILE
[29/09/2021, 23:23:37][admin@admin][success] Remove File From Database: Xoá File thành công!

######[29/09/2021, 23:23:38][admin@admin][notification] REQUEST: REMOVE FILE
[29/09/2021, 23:23:38][admin@admin][success] Remove File From Database: Xoá File thành công!

######[29/09/2021, 23:23:38][admin@admin][notification] REQUEST: REMOVE FILE
[29/09/2021, 23:23:38][admin@admin][success] Remove File From Database: Xoá File thành công!

######[29/09/2021, 23:23:39][admin@admin][notification] REQUEST: REMOVE FILE

######[29/09/2021, 23:23:39][admin@admin][notification] REQUEST: REMOVE FILE
[29/09/2021, 23:23:39][admin@admin][success] Remove File From Database: Xoá File thành công!

######[29/09/2021, 23:23:40][admin@admin][notification] REQUEST: REMOVE FILE

######[29/09/2021, 23:23:40][admin@admin][notification] REQUEST: REMOVE FILE

######[29/09/2021, 23:23:41][admin@admin][notification] REQUEST: REMOVE FILE
[29/09/2021, 23:23:41][admin@admin][success] Remove File From Database: Xoá File thành công!

######[29/09/2021, 23:23:41][admin@admin][notification] REQUEST: REMOVE FILE

######[29/09/2021, 23:23:42][admin@admin][notification] REQUEST: REMOVE FILE
[29/09/2021, 23:23:45][admin@admin][success] Remove File From Database: Xoá File thành công!
[29/09/2021, 23:23:45][admin@admin][success] Remove File From Database: Xoá File thành công!
[29/09/2021, 23:23:45][admin@admin][success] Remove File From Database: Xoá File thành công!
[29/09/2021, 23:23:46][admin@admin][success] Remove File From Database: Xoá File thành công!
[29/09/2021, 23:23:46][admin@admin][success] Remove File From Database: Xoá File thành công!
[29/09/2021, 23:23:46][admin@admin][success] Remove File From Database: Xoá File thành công!
